Time,WorkingSetBytes,PrivateBytes
2025-11-14T22:41:43.3210087+05:30,6610944,4677632
2025-11-14T22:41:44.3704617+05:30,6610944,4677632
2025-11-14T22:41:45.3935649+05:30,6737920,4755456
2025-11-14T22:41:46.4038303+05:30,6737920,4755456
2025-11-14T22:41:47.4150395+05:30,6737920,4755456
2025-11-14T22:41:48.4276983+05:30,6737920,4755456
2025-11-14T22:41:49.4365067+05:30,6737920,4755456
2025-11-14T22:41:50.4505189+05:30,6737920,4755456
2025-11-14T22:41:51.4705932+05:30,6737920,4755456
2025-11-14T22:41:52.4983615+05:30,6737920,4755456
2025-11-14T22:41:53.5192674+05:30,6074368,4755456
2025-11-14T22:41:54.5423200+05:30,6074368,4755456
2025-11-14T22:41:55.5575665+05:30,6074368,4755456
2025-11-14T22:41:56.5718318+05:30,6074368,4755456
2025-11-14T22:41:57.5989012+05:30,6074368,4755456
2025-11-14T22:41:58.6203569+05:30,6074368,4755456
2025-11-14T22:41:59.6446650+05:30,6074368,4755456
2025-11-14T22:42:00.6632106+05:30,6074368,4755456
2025-11-14T22:42:01.6838385+05:30,6074368,4755456
2025-11-14T22:42:02.7063727+05:30,6074368,4755456
2025-11-14T22:42:03.7159934+05:30,6074368,4755456
2025-11-14T22:42:04.7281453+05:30,6074368,4755456
2025-11-14T22:42:05.7467109+05:30,6074368,4755456
2025-11-14T22:42:06.7579361+05:30,6074368,4755456
2025-11-14T22:42:07.7828663+05:30,6074368,4755456
2025-11-14T22:42:08.8036285+05:30,6074368,4755456
2025-11-14T22:42:09.8243904+05:30,6074368,4755456
2025-11-14T22:42:10.8409128+05:30,6074368,4755456
2025-11-14T22:42:11.8625648+05:30,6074368,4755456
2025-11-14T22:42:12.8793052+05:30,6074368,4755456
2025-11-14T22:42:13.8894388+05:30,6041600,2646016
2025-11-14T22:42:14.9111367+05:30,6041600,2646016
2025-11-14T22:42:15.9310212+05:30,6041600,2646016
2025-11-14T22:42:16.9563131+05:30,6041600,2646016
2025-11-14T22:42:17.9755255+05:30,6041600,2646016
2025-11-14T22:42:18.9944898+05:30,6041600,2646016
2025-11-14T22:42:20.0200973+05:30,6041600,2646016
2025-11-14T22:42:21.0318256+05:30,6041600,2646016
2025-11-14T22:42:22.0499322+05:30,6041600,2646016
2025-11-14T22:42:23.0626432+05:30,6041600,2646016
2025-11-14T22:42:24.0903545+05:30,6041600,2646016
2025-11-14T22:42:25.1058868+05:30,6041600,2646016
2025-11-14T22:42:26.1182173+05:30,6041600,2646016
2025-11-14T22:42:27.1275067+05:30,6041600,2646016
2025-11-14T22:42:28.1371492+05:30,6041600,2646016
2025-11-14T22:42:29.1501807+05:30,6041600,2646016
2025-11-14T22:42:30.1618600+05:30,6041600,2646016
2025-11-14T22:42:31.1816819+05:30,6041600,2646016
2025-11-14T22:42:32.2108038+05:30,6041600,2646016
2025-11-14T22:42:33.2257826+05:30,6041600,2646016
2025-11-14T22:42:34.2461032+05:30,6041600,2646016
2025-11-14T22:42:35.2731972+05:30,6041600,2646016
2025-11-14T22:42:36.2960058+05:30,6041600,2646016
2025-11-14T22:42:37.3148609+05:30,6041600,2646016
2025-11-14T22:42:38.3242381+05:30,6041600,2646016
2025-11-14T22:42:39.3435996+05:30,6041600,2646016
2025-11-14T22:42:40.3556276+05:30,6041600,2646016
2025-11-14T22:42:41.3777373+05:30,6041600,2646016
2025-11-14T22:42:42.3931397+05:30,6041600,2646016
2025-11-14T22:42:43.4005650+05:30,6041600,2646016
2025-11-14T22:42:44.4174809+05:30,6041600,2646016
2025-11-14T22:42:45.4439247+05:30,6041600,2646016
2025-11-14T22:42:46.4536622+05:30,6041600,2646016
2025-11-14T22:42:47.4630385+05:30,6041600,2646016
2025-11-14T22:42:48.4740662+05:30,6041600,2646016
2025-11-14T22:42:49.5022333+05:30,5087232,2646016
2025-11-14T22:42:50.5184404+05:30,5087232,2646016
2025-11-14T22:42:51.5470592+05:30,5087232,2646016
2025-11-14T22:42:52.5640743+05:30,5087232,2646016
2025-11-14T22:42:53.5857864+05:30,5087232,2646016
2025-11-14T22:42:54.6076770+05:30,5087232,2646016
2025-11-14T22:42:55.6241888+05:30,5087232,2646016
